DATE,BTC_OPEN,ETH_OPEN
2019-06-26,11814.85,318.69
2019-06-25,11048.63,311.7
2019-06-24,10899.96,309.03
2019-06-23,10729.36,310.07
2019-06-22,10177.25,295.22
2019-06-21,9520.18,271.76
2019-06-20,9250.0,267.73
2019-06-19,9076.41,263.98
2019-06-18,9310.42,273.6
2019-06-17,8968.92,268.02
2019-06-16,8809.27,268.23
2019-06-15,8673.2,263.06
2019-06-14,8210.0,254.08
2019-06-13,8130.0,261.21
2019-06-12,7887.57,244.35
2019-06-11,7988.74,246.69
2019-06-10,7640.6,231.77
2019-06-09,7895.0,243.11
2019-06-08,7994.0,248.91
2019-06-07,7784.81,248.5
2019-06-06,7773.5,245.9
2019-06-05,7691.49,241.38
2019-06-04,8118.44,250.17
2019-06-03,8724.49,269.18
2019-06-02,8542.76,263.72
2019-06-01,8549.99,268.19
2019-05-31,8275.25,254.47
2019-05-30,8653.0,268.51
2019-05-29,8722.19,270.92
2019-05-28,8750.08,270.88
2019-05-27,8622.61,265.5
2019-05-26,8036.47,250.67
2019-05-25,7975.29,248.48
2019-05-24,7847.22,244.63
2019-05-23,7628.8,244.53
2019-05-22,7903.16,253.69
2019-05-21,7924.87,250.7
2019-05-20,8163.01,260.98
2019-05-19,7267.63,233.8
2019-05-18,7352.42,244.37
2019-05-17,7873.94,263.73
2019-05-16,8169.89,248.18
2019-05-15,8000.0,218.02
2019-05-14,7811.96,196.32
2019-05-13,6980.59,188.44
2019-05-12,7215.08,192.78
2019-05-11,6382.1,172.99
2019-05-10,6174.7,170.67
2019-05-09,5982.9,170.34
2019-05-08,5846.0,169.18
2019-05-07,5744.28,172.68
2019-05-06,5776.39,163.36
2019-05-05,5842.8,163.68
2019-05-04,5771.5,167.62
2019-05-03,5500.47,162.7
2019-05-02,5395.6,160.2
2019-05-01,5321.4,161.52
2019-04-30,5242.42,155.1
2019-04-29,5314.3,157.93
2019-04-28,5296.33,159.43
2019-04-27,5312.71,157.57
2019-04-26,5229.55,154.81
2019-04-25,5409.03,164.71
2019-04-24,5494.45,169.36
2019-04-23,5364.94,170.36
2019-04-22,5258.96,168.61
2019-04-21,5289.87,172.88
2019-04-20,5260.86,172.65
2019-04-19,5260.81,173.22
2019-04-18,5203.19,165.94
2019-04-17,5176.52,165.63
2019-04-16,5032.75,160.37
2019-04-15,5126.69,167.24
2019-04-14,5049.61,163.38
2019-04-13,5053.22,163.82
2019-04-12,5022.1,164.42
2019-04-11,5309.45,177.2
2019-04-10,5154.13,174.83
2019-04-09,5240.22,178.95
2019-04-08,5174.94,174.3
2019-04-07,5051.07,165.38
2019-04-06,5005.5,164.9
2019-04-05,4890.34,157.09
2019-04-04,4939.9,159.73
2019-04-03,4861.42,163.72
2019-04-02,4145.0,141.53
2019-04-01,4104.76,141.5
2019-03-31,4105.3,142.4
2019-03-30,4104.6,143.3
2019-03-29,4028.51,137.83
2019-03-28,4045.47,139.04
2019-03-27,3946.36,134.13
2019-03-26,3944.0,134.05
2019-03-25,3991.51,136.26
2019-03-24,4003.8,137.15
2019-03-23,3988.04,136.02
2019-03-22,3982.46,134.69
2019-03-21,4040.68,139.0
2019-03-20,4015.61,138.64
2019-03-19,3988.51,137.42
2019-03-18,3986.4,138.7
2019-03-17,4005.55,141.1
2019-03-16,3922.89,136.39
2019-03-15,3877.32,132.2
2019-03-14,3866.07,131.93
2019-03-13,3881.3,133.6
2019-03-12,3874.37,132.42
2019-03-11,3921.11,135.43
2019-03-10,3940.29,137.05
2019-03-09,3860.21,133.29
2019-03-08,3877.51,136.67
2019-03-07,3861.94,137.29
2019-03-06,3859.06,136.84
2019-03-05,3719.22,125.74
2019-03-04,3807.08,130.34
2019-03-03,3823.86,132.23
2019-03-02,3827.15,135.28
2019-03-01,3820.79,135.46
2019-02-28,3816.22,134.7
2019-02-27,3811.29,136.45
2019-02-26,3826.98,137.83
2019-02-25,3750.94,132.55
2019-02-24,4112.11,157.91
2019-02-23,3966.3,147.43
2019-02-22,3940.08,146.21
2019-02-21,3970.75,148.81
2019-02-20,3914.72,143.65
2019-02-19,3902.34,145.67
2019-02-18,3669.67,133.88
2019-02-17,3620.21,122.84
2019-02-16,3605.31,121.42
2019-02-15,3591.15,120.35
2019-02-14,3609.18,122.04
2019-02-13,3633.8,122.51
2019-02-12,3633.54,120.78
2019-02-11,3676.8,125.6
2019-02-10,3669.51,119.67
2019-02-09,3660.0,119.23
2019-02-08,3399.38,104.26
2019-02-07,3407.5,104.49
2019-02-06,3470.4,107.33
2019-02-05,3463.47,107.7
2019-02-04,3455.01,107.33
2019-02-03,3507.75,110.45
2019-02-02,3468.02,106.96
2019-02-01,3430.17,106.53
2019-01-31,3460.78,108.45
2019-01-30,3408.11,104.76
2019-01-29,3440.72,105.44
2019-01-28,3553.22,112.16
2019-01-27,3568.83,115.38
2019-01-26,3566.73,115.38
2019-01-25,3567.64,116.32
2019-01-24,3551.08,116.3
2019-01-23,3571.04,117.97
2019-01-22,3530.45,115.85
2019-01-21,3535.36,117.44
2019-01-20,3669.29,122.74
2019-01-19,3597.0,119.06
2019-01-18,3618.11,121.73
2019-01-17,3589.4,121.37
2019-01-16,3553.9,119.44
2019-01-15,3628.0,126.61
2019-01-14,3474.79,114.29
2019-01-13,3582.25,123.26
2019-01-12,3600.0,124.65
2019-01-11,3586.28,125.25
2019-01-10,3965.47,148.31
2019-01-09,3954.34,147.51
2019-01-08,3974.89,149.43
2019-01-07,3988.0,154.18
2019-01-06,3775.81,153.03
2019-01-05,3794.9,152.02
2019-01-04,3761.86,146.25
2019-01-03,3858.9,152.0
2019-01-02,3795.56,138.49
2019-01-01,3696.22,131.39
2018-12-31,3798.24,137.45
2018-12-30,3691.75,132.84
2018-12-29,3840.41,134.97
2018-12-28,3565.27,113.4
2018-12-27,3779.91,129.27
2018-12-26,3740.68,127.44
2018-12-25,4010.27,138.47
2018-12-24,3929.1,129.16
2018-12-23,3948.86,115.24
2018-12-22,3836.54,107.58
2018-12-21,4050.65,113.88
2018-12-20,3667.66,98.83
2018-12-19,3650.81,100.37
2018-12-18,3505.4,94.19
2018-12-17,3223.74,84.5
2018-12-16,3216.14,83.92
2018-12-15,3221.66,83.87
2018-12-14,3301.06,86.27
2018-12-13,3445.92,89.21
2018-12-12,3380.0,87.81
2018-12-11,3441.27,89.97
2018-12-10,3549.01,93.45
2018-12-09,3409.25,90.45
2018-12-08,3401.59,93.1
2018-12-07,3508.72,91.04
2018-12-06,3769.81,102.45
2018-12-05,3955.57,109.6
2018-12-04,3890.35,109.14
2018-12-03,4162.65,116.51
2018-12-02,4193.06,118.7
2018-12-01,4040.86,113.97
2018-11-30,4291.08,118.45
2018-11-29,4268.44,122.94
2018-11-28,3880.05,111.56
2018-11-27,3850.22,110.59
2018-11-26,4100.94,118.48
2018-11-25,3933.18,115.0
2018-11-24,4421.0,125.3
2018-11-23,4360.14,126.77
2018-11-22,4667.0,138.15
2018-11-21,4570.35,134.34
2018-11-20,4925.55,150.86
2018-11-19,5659.34,179.0
2018-11-18,5630.39,176.11
2018-11-17,5648.69,176.98
2018-11-16,5744.8,184.72
2018-11-15,5909.43,187.77
2018-11-14,6467.66,210.05
2018-11-13,6453.58,213.03
2018-11-12,6457.3,213.38
2018-11-11,6437.42,213.18
2018-11-10,6419.7,210.94
2018-11-09,6480.23,213.03
2018-11-08,6575.4,218.9
2018-11-07,6518.77,220.96
2018-11-06,6471.39,210.74
